,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
495,AUDI,Q3 TFSIE,AUDI Q3 TFSIE,AUDI Q3,AUDI,Q3,AUDI Q3
496,AUDI,Q3,AUDI Q3,AUDI Q3,AUDI,Q3,AUDI Q3
497,PEUGEOT,208 E 208,PEUGEOT 208 E 208,PEUGEOT 208 5P ALLURE E,PEUGEOT,208 5P ALLURE E,PEUGEOT 208 5P ALLURE E
498,PORSCHE,911,PORSCHE 911,PORSCHE 911,PORSCHE,911,PORSCHE 911
499,PORSCHE,911 SPORT CLASSIC,PORSCHE 911 SPORT CLASSIC,PORSCHE 911,PORSCHE,911,PORSCHE 911
500,PORSCHE,911 GTS,PORSCHE 911 GTS,PORSCHE 911,PORSCHE,911,PORSCHE 911
501,PORSCHE,911 GT2 RS,PORSCHE 911 GT2 RS,PORSCHE 911,PORSCHE,911,PORSCHE 911
502,PORSCHE,911 GT2,PORSCHE 911 GT2,PORSCHE 911,PORSCHE,911,PORSCHE 911
503,TOYOTA,PRIUS,TOYOTA PRIUS,TOYOTA PRIUS,TOYOTA,PRIUS,TOYOTA PRIUS
504,TOYOTA,PRIUS PLUG IN,TOYOTA PRIUS PLUG IN,TOYOTA PRIUS,TOYOTA,PRIUS,TOYOTA PRIUS
505,VOLKSWAGEN,CADDY,VOLKSWAGEN CADDY,VOLKSWAGEN CADDY,VOLKSWAGEN,CADDY,VOLKSWAGEN CADDY
506,VOLKSWAGEN,TAIGO,VOLKSWAGEN TAIGO,VOLKSWAGEN TAIGO,VOLKSWAGEN,TAIGO,VOLKSWAGEN TAIGO
507,FORD,FIESTA,FORD FIESTA,FORD FIESTA,FORD,FIESTA,FORD FIESTA
508,FORD,FIESTA ST,FORD FIESTA ST,FORD FIESTA,FORD,FIESTA,FORD FIESTA
509,SKODA,OCTAVIA RS,SKODA OCTAVIA RS,SKODA OCTAVIA RS,SKODA,OCTAVIA RS,SKODA OCTAVIA RS
510,SKODA,FABIA,SKODA FABIA,SKODA FABIA,SKODA,FABIA,SKODA FABIA
511,SKODA,FABIA SCOUT,SKODA FABIA SCOUT,SKODA FABIA,SKODA,FABIA,SKODA FABIA
512,SKODA,FABIA RS,SKODA FABIA RS,SKODA FABIA,SKODA,FABIA,SKODA FABIA
513,MERCEDES,CLASE T,MERCEDES CLASE T,MERCEDES BENZ CLASE T,MERCEDES BENZ,CLASE T,MERCEDES BENZ CLASE T
514,FERRARI,458 ITALIA,FERRARI 458 ITALIA,FERRARI 458,FERRARI,458,FERRARI 458
515,FERRARI,458 ITALIA SPECIALE,FERRARI 458 ITALIA SPECIALE,FERRARI 458,FERRARI,458,FERRARI 458
516,FERRARI,458 ITALIA SPECIALE A,FERRARI 458 ITALIA SPECIALE A,FERRARI 458,FERRARI,458,FERRARI 458
517,BENTLEY,BENTAYGA,BENTLEY BENTAYGA,BENTLEY BENTAYGA V8,BENTLEY,BENTAYGA V8,BENTLEY BENTAYGA V8
